NAIP Entity ID ,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
M_3209611_SE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°46'52.52"N,96°39'22.48"W,32°48'54.21"N,96°41'20.62"W,32°48'49.67"N,96°37'18.08"W,32°44'50.80"N,96°37'24.44"W,32°44'55.33"N,96°41'26.79"W,32.7812554,-96.6562444,32.8150583,-96.689061,32.8137972,-96.6216888,32.7474444,-96.6234554,32.7487027,-96.6907749,M_3209611_SE_14_060_20181126,2792016,https://earthexplorer.usgs.gov/browse-link/15920/2792016
M_3209611_SW_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°46'52.59"N,96°43'07.53"W,32°48'54.22"N,96°45'05.75"W,32°48'49.80"N,96°41'03.20"W,32°44'50.92"N,96°41'09.39"W,32°44'55.33"N,96°45'11.76"W,32.7812749,-96.7187582,32.8150611,-96.7515972,32.8138333,-96.6842221,32.7474777,-96.6859416,32.7487027,-96.7532666,M_3209611_SW_14_060_20181126,2792017,https://earthexplorer.usgs.gov/browse-link/15920/2792017
M_3209618_NE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°43'07.56"N,96°46'52.39"W,32°45'09.14"N,96°48'50.63"W,32°45'04.84"N,96°44'48.24"W,32°41'05.95"N,96°44'54.25"W,32°41'10.23"N,96°48'56.46"W,32.7187666,-96.7812193,32.7525388,-96.8140638,32.7513444,-96.7467333,32.684986,-96.7484027,32.6861749,-96.8156833,M_3209618_NE_14_060_20181126,2792041,https://earthexplorer.usgs.gov/browse-link/15920/2792041
M_3209618_SE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°39'22.48"N,96°46'52.43"W,32°41'23.96"N,96°48'50.59"W,32°41'19.67"N,96°44'48.37"W,32°37'20.97"N,96°44'54.36"W,32°37'25.25"N,96°48'56.40"W,32.6562444,-96.7812304,32.6899888,-96.8140527,32.6887971,-96.7467694,32.6224916,-96.7484333,32.6236804,-96.8156666,M_3209618_SE_14_060_20181126,2792044,https://earthexplorer.usgs.gov/browse-link/15920/2792044
M_3209619_NE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°43'07.45"N,96°39'22.50"W,32°45'09.24"N,96°41'20.67"W,32°45'04.70"N,96°37'18.07"W,32°41'05.63"N,96°37'24.42"W,32°41'10.16"N,96°41'26.84"W,32.718736,-96.65625,32.7525666,-96.6890749,32.7513055,-96.621686,32.6848971,-96.6234499,32.6861555,-96.6907888,M_3209619_NE_14_060_20181126,2792046,https://earthexplorer.usgs.gov/browse-link/15920/2792046
M_3209619_NW_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,32°43'07.51"N,96°43'07.50"W,32°45'09.25"N,96°45'05.65"W,32°45'04.83"N,96°41'03.27"W,32°41'05.75"N,96°41'09.45"W,32°41'10.16"N,96°45'11.65"W,32.7187527,-96.7187499,32.7525694,-96.7515694,32.7513416,-96.6842416,32.6849305,-96.6859583,32.6861555,-96.7532361,M_3209619_NW_14_060_20181126,2792047,https://earthexplorer.usgs.gov/browse-link/15920/2792047
M_3309658_NE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,33°05'37.50"N,96°46'52.42"W,33°07'38.99"N,96°48'50.67"W,33°07'34.67"N,96°44'48.18"W,33°03'35.98"N,96°44'54.27"W,33°03'40.29"N,96°48'56.57"W,33.0937499,-96.7812277,33.1274971,-96.814075,33.1262971,-96.7467166,33.0599944,-96.7484083,33.0611916,-96.8157138,M_3309658_NE_14_060_20181126,2794471,https://earthexplorer.usgs.gov/browse-link/15920/2794471
M_3309658_SE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,33°01'52.53"N,96°46'52.52"W,33°03'54.02"N,96°48'50.68"W,33°03'49.71"N,96°44'48.37"W,32°59'51.02"N,96°44'54.44"W,32°59'55.32"N,96°48'56.58"W,33.0312582,-96.7812554,33.0650055,-96.8140777,33.0638083,-96.7467694,32.9975055,-96.7484555,32.9986999,-96.8157166,M_3309658_SE_14_060_20181126,2794473,https://earthexplorer.usgs.gov/browse-link/15920/2794473
M_3309659_NE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,33°05'37.44"N,96°39'22.48"W,33°07'39.24"N,96°41'20.65"W,33°07'34.67"N,96°37'17.95"W,33°03'35.62"N,96°37'24.39"W,33°03'40.18"N,96°41'26.91"W,33.0937333,-96.6562444,33.1275666,-96.6890694,33.1262971,-96.6216527,33.0598944,-96.6234416,33.0611611,-96.6908083,M_3309659_NE_14_060_20181126,2794475,https://earthexplorer.usgs.gov/browse-link/15920/2794475
M_3309659_NW_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,33°05'37.53"N,96°43'07.50"W,33°07'39.27"N,96°45'05.65"W,33°07'34.83"N,96°41'03.17"W,33°03'35.76"N,96°41'09.44"W,33°03'40.19"N,96°45'11.74"W,33.0937583,-96.7187499,33.1275749,-96.7515694,33.1263416,-96.6842138,33.0599333,-96.6859555,33.0611638,-96.7532611,M_3309659_NW_14_060_20181126,2794476,https://earthexplorer.usgs.gov/browse-link/15920/2794476
